"em","CVSSB","CVR","CVexR"
"1A_25_PY",0.137723777461876,0.155200909124113,0.121623846613913
"1A_25_Y",0.126206159664875,0.200279326115334,0.115807941951659
"4A_25_PY",0.198981080442918,0.201679971402961,0.200713462077669
"4A_25_Y",0.140396256466991,0.222245888816932,0.130483606584254
